trefwoord	homon	bettr	thema	subthema1	POS	hulpthema	jaarrek	bronboek	status	geleend_uit	leenvorm	opmerking	bron
à		voorzetsel	20. taalkunde		voorzetsel		1832	WEI	leen	Frans	à		CW 2001
à bout portant		op de man af			anders		1865		leen	Frans			EWB2
a capella		zonder instrumentale begeleiding	18. muziek		bijvoeglijk naamwoord		1772	Bouvink	leen	Italiaans			CW 2001
à charge					anders				leen	Frans	à charge		Leenwoordenboek 2005
a conto		op rekening			anders		1824		leen	Italiaans			EWB2
a costi		in uw stad			anders		1624		leen	Italiaans			EWB2
à décharge					anders				leen	Frans	à décharge		Leenwoordenboek 2005
a fortiori		bijwoord: met meer reden	20. taalkunde		bijwoord		1600	WNT reden I	leen	Latijn			CW 2001
à gogo					bijwoord		1992		leen	Frans			EWB2
a governo					anders				leen	Italiaans	a governo		Leenwoordenboek 2005
à l’improviste					anders				leen	Frans	à l’improviste		Leenwoordenboek 2005
à la bonne heure					anders				leen	Frans	à la bonne heure		Leenwoordenboek 2005
à la minute					anders				leen	Frans	à la minute		Leenwoordenboek 2005
à la mode					anders				leen	Frans	à la mode		Leenwoordenboek 2005
à point		van vlees, zo gebakken dat het binnenin nog rood is			anders		1824		leen	Frans			EWB2
a posteriori		bijwoord: achteraf gedacht	7. tijd		bijwoord		1824	WEI	leen	Latijn			CW 2001
a prima vista		bijwoord: van het blad (zingen of spelen)	18. muziek		bijwoord		1772	Bouvink	leen	Italiaans			CW 2001
a priori		bijwoord: vooraf	7. tijd		bijwoord		1658	MEY	leen	Latijn			CW 2001
à propos		tussenwerpsel: wat ik wilde zeggen	20. taalkunde		tussenwerpsel		1704	WNT	leen	Frans			CW 2001
a tempo		in de aangegeven tijdmaat			anders		1772		leen	Italiaans			EWB2
à titre personnel					anders				leen	Frans	à titre personnel		Leenwoordenboek 2005
à tout prix					anders				leen	Frans	à tout prix		Leenwoordenboek 2005
à votre santé					anders				leen	Frans	à votre santé		Leenwoordenboek 2005
A-bom		atoombom	14. leger	wapens	zelfstandig naamwoord		1945-1950	Van Nierop 1975	leen	Engels			CW 2001
A.D.					anders				leen	Latijn	A.D. = Anno Domini		Leenwoordenboek 2005
a.m.					anders				leen	Latijn	a.m. = ante meridiem		Leenwoordenboek 2005
aad		bepaald vat, gebruikt voor het afromen van melk			zelfstandig naamwoord		1950		leen	Fries			EWB2
aalmoes		gift	8. religie		zelfstandig naamwoord		1236	CG I1, 22	leen	Frans			CW 2001
aalmoezenier		katholiek geestelijke	8. religie		zelfstandig naamwoord	persoonsaanduiding	1251-1275	CG I1, 292	leen	Frans			CW 2001
aam		vochtmaat			zelfstandig naamwoord		1285-1286		leen	Latijn			EWB2
aandacht		belangstelling	4. mensenwereld	eigenschappen	zelfstandig naamwoord		1430	HWS	leen	Duits			CW 2001
aanhangwagen		wagen die door andere wordt voortgetrokken	10. voortbewegen	transportmiddel	zelfstandig naamwoord		1934	Vd Sijs 1996, 236	leen	Duits			CW 2001
